investor_id,average_gap_days,total_sips,total_investment,status
INV000001,76.0,2,47946,At Risk
INV000002,207.0,3,7874,At Risk
INV000003,238.0,2,17861,At Risk
INV000004,85.4,6,48256,At Risk
INV000005,14.0,3,57646,Regular
INV000006,123.75,5,48582,At Risk
INV000007,104.5,5,82420,At Risk
INV000008,70.4,6,72853,At Risk
INV000009,85.33,4,97638,At Risk
INV000010,64.8,6,32183,At Risk
INV000011,40.17,7,93920,At Risk
INV000012,57.0,8,40139,At Risk
INV000013,55.33,7,75613,At Risk
INV000014,75.33,7,140315,At Risk
INV000018,50.0,2,11817,At Risk
INV000019,205.0,3,38049,At Risk
INV000020,16.0,2,5642,Regular
INV000021,144.0,3,73676,At Risk
INV000022,40.0,2,12221,At Risk
INV000023,58.57,8,202529,At Risk
INV000024,75.75,5,66955,At Risk
INV000026,144.67,4,51782,At Risk
INV000027,341.0,2,19078,At Risk
INV000028,93.6,6,84262,At Risk
INV000029,60.67,7,90012,At Risk
INV000030,47.62,9,76470,At Risk
INV000031,145.0,3,13721,At Risk
INV000032,102.33,4,20796,At Risk
INV000033,45.57,8,46033,At Risk
INV000035,144.0,2,1710,At Risk
INV000036,99.0,2,11059,At Risk
INV000037,63.0,2,9367,At Risk
INV000038,69.0,4,72030,At Risk
INV000039,68.6,6,99338,At Risk
INV000040,55.0,5,75547,At Risk
INV000042,22.67,4,86054,Regular
INV000044,17.0,2,1876,Regular
INV000045,70.6,6,114438,At Risk
INV000046,33.67,4,33006,Regular
INV000047,77.0,2,18994,At Risk
INV000048,46.0,9,40327,At Risk
INV000049,247.5,3,37744,At Risk
INV000050,143.0,2,23732,At Risk
INV000051,74.5,3,13220,At Risk
INV000052,36.2,6,24378,At Risk
INV000053,7.0,2,9834,Regular
INV000054,68.25,5,16934,At Risk
INV000055,100.0,5,60729,At Risk
INV000056,74.8,6,60977,At Risk
INV000057,49.71,8,90907,At Risk
INV000058,76.75,5,17010,At Risk
INV000060,90.0,2,24574,At Risk
INV000061,20.0,3,4229,Regular
INV000062,116.0,5,96430,At Risk
INV000063,218.0,3,9210,At Risk
INV000065,112.33,4,116319,At Risk
INV000066,98.0,2,27388,At Risk
INV000069,49.11,10,156054,At Risk
INV000070,92.0,3,9644,At Risk
INV000071,24.33,4,158957,Regular
INV000072,83.0,6,49372,At Risk
INV000073,48.25,9,113509,At Risk
INV000074,72.57,8,106669,At Risk
INV000075,74.8,6,147761,At Risk
INV000076,91.8,6,50910,At Risk
INV000079,65.8,6,42160,At Risk
INV000080,81.0,4,41699,At Risk
INV000081,81.33,7,54704,At Risk
INV000082,83.67,7,27594,At Risk
INV000084,102.0,4,48068,At Risk
INV000085,91.25,5,43372,At Risk
INV000086,44.67,10,81221,At Risk
INV000087,92.8,6,105288,At Risk
INV000088,9.0,2,9738,Regular
INV000089,121.33,4,16620,At Risk
INV000090,145.5,3,12373,At Risk
INV000091,44.0,8,55134,At Risk
INV000092,7.5,3,2680,Regular
INV000093,55.5,7,141515,At Risk
INV000094,44.8,6,49928,At Risk
INV000095,69.4,6,92823,At Risk
INV000096,2.0,2,17236,Regular
INV000097,54.5,7,155107,At Risk
INV000098,51.25,5,22158,At Risk
INV000099,91.75,5,27061,At Risk
INV000100,215.0,3,82724,At Risk
INV000101,65.0,8,112802,At Risk
INV000102,65.29,8,114074,At Risk
INV000103,83.4,6,20675,At Risk
INV000104,115.0,5,55345,At Risk
INV000105,57.0,8,86911,At Risk
INV000106,112.0,2,56771,At Risk
INV000107,100.0,3,19084,At Risk
INV000108,70.0,3,14990,At Risk
INV000109,46.25,9,67651,At Risk
INV000110,122.0,3,16633,At Risk
INV000112,120.5,3,21780,At Risk
INV000113,46.0,8,84349,At Risk
INV000115,140.33,4,31235,At Risk
INV000116,157.5,3,16533,At Risk
INV000117,117.33,4,23230,At Risk
INV000118,50.5,5,32373,At Risk
INV000119,142.0,2,34154,At Risk
INV000120,117.5,3,30449,At Risk
INV000121,170.0,2,10103,At Risk
INV000123,59.67,7,113633,At Risk
INV000124,144.67,4,28267,At Risk
INV000125,85.75,5,50689,At Risk
INV000128,82.0,6,38273,At Risk
INV000129,108.5,5,61583,At Risk
INV000130,170.0,2,25533,At Risk
INV000131,56.0,7,102201,At Risk
INV000132,71.0,6,88403,At Risk
INV000133,88.2,6,74695,At Risk
INV000134,87.0,3,14726,At Risk
INV000135,120.0,3,27923,At Risk
INV000137,81.33,4,67583,At Risk
INV000138,76.2,6,156066,At Risk
INV000140,157.0,2,59751,At Risk
INV000143,102.67,4,96152,At Risk
INV000144,182.5,3,11051,At Risk
INV000145,89.4,6,127034,At Risk
INV000146,66.8,6,88618,At Risk
INV000147,116.0,4,63649,At Risk
INV000148,52.0,9,90012,At Risk
INV000150,100.75,5,14915,At Risk
INV000151,136.5,3,82907,At Risk
INV000153,44.0,4,18065,At Risk
INV000154,64.0,5,37245,At Risk
INV000155,37.33,7,57530,At Risk
INV000156,159.67,4,16322,At Risk
INV000158,103.0,5,80381,At Risk
INV000159,201.0,3,38250,At Risk
INV000160,37.0,3,45447,At Risk
INV000161,73.0,7,44287,At Risk
INV000162,435.0,2,18379,At Risk
INV000163,61.0,8,58271,At Risk
INV000164,61.8,6,25253,At Risk
INV000165,141.67,4,70454,At Risk
INV000166,166.0,4,10913,At Risk
INV000167,97.5,5,33355,At Risk
INV000169,67.83,7,48708,At Risk
INV000170,18.0,2,15598,Regular
INV000171,98.0,2,1032,At Risk
INV000172,133.33,4,70516,At Risk
INV000173,57.67,7,78387,At Risk
INV000174,119.5,5,26905,At Risk
INV000175,83.67,7,71320,At Risk
INV000176,201.5,3,54541,At Risk
INV000177,65.43,8,51520,At Risk
INV000178,230.0,2,8750,At Risk
INV000179,39.75,5,78677,At Risk
INV000180,61.8,6,15924,At Risk
INV000181,160.5,3,19264,At Risk
INV000182,70.5,5,25383,At Risk
INV000183,56.12,9,86040,At Risk
INV000185,196.0,2,14773,At Risk
INV000189,153.5,3,12718,At Risk
INV000190,55.0,5,33261,At Risk
INV000191,56.5,7,68656,At Risk
INV000192,99.75,5,17971,At Risk
INV000193,155.33,4,31619,At Risk
INV000194,58.0,7,61857,At Risk
INV000195,77.4,6,21739,At Risk
INV000196,69.0,7,80685,At Risk
INV000199,65.0,4,8715,At Risk
INV000200,113.67,4,59351,At Risk
INV000201,51.12,9,98278,At Risk
INV000202,348.0,2,28207,At Risk
INV000203,42.75,5,47750,At Risk
INV000204,48.0,2,70371,At Risk
INV000205,62.57,8,72091,At Risk
INV000207,95.0,5,66956,At Risk
INV000210,70.71,8,93572,At Risk
INV000211,116.0,5,34288,At Risk
INV000213,90.0,4,11428,At Risk
INV000214,94.8,6,67357,At Risk
INV000215,109.25,5,62098,At Risk
INV000216,61.33,4,68956,At Risk
INV000217,92.0,6,44146,At Risk
INV000219,126.0,3,42184,At Risk
INV000220,100.75,5,18162,At Risk
INV000221,34.75,5,12195,Regular
INV000222,39.67,4,18868,At Risk
INV000223,114.75,5,84544,At Risk
INV000224,74.67,4,79877,At Risk
INV000225,125.33,4,22825,At Risk
INV000226,84.33,4,22203,At Risk
INV000227,108.0,3,25988,At Risk
INV000228,59.75,9,239176,At Risk
INV000229,67.75,5,32517,At Risk
INV000230,60.75,5,36391,At Risk
INV000231,47.0,5,17319,At Risk
INV000234,121.75,5,88987,At Risk
INV000235,74.33,4,15601,At Risk
INV000236,67.14,8,112217,At Risk
INV000238,93.6,6,146422,At Risk
INV000239,48.86,8,161292,At Risk
INV000241,110.5,3,18523,At Risk
INV000242,62.5,3,13738,At Risk
INV000243,88.2,6,58145,At Risk
INV000244,23.33,4,59256,Regular
INV000245,92.2,6,46023,At Risk
INV000246,92.33,4,54530,At Risk
INV000249,45.5,7,194759,At Risk
INV000251,223.0,2,18933,At Risk
INV000252,50.4,6,103128,At Risk
INV000254,249.0,2,51387,At Risk
INV000255,48.6,6,34653,At Risk
INV000256,70.2,6,31902,At Risk
INV000257,93.25,5,75200,At Risk
INV000259,70.6,6,81938,At Risk
INV000260,59.57,8,139633,At Risk
INV000261,131.33,4,49611,At Risk
INV000262,53.57,8,47209,At Risk
INV000263,68.43,8,157678,At Risk
INV000265,53.44,10,203433,At Risk
INV000266,101.0,4,42214,At Risk
INV000267,86.75,5,81631,At Risk
INV000268,62.33,7,79605,At Risk
INV000269,180.0,2,6494,At Risk
INV000270,130.0,2,3778,At Risk
INV000271,342.0,2,11753,At Risk
INV000272,96.33,4,70152,At Risk
INV000274,100.75,5,52121,At Risk
INV000275,17.0,2,24306,Regular
INV000276,80.0,4,30774,At Risk
INV000278,354.0,2,1029,At Risk
INV000279,43.38,9,61623,At Risk
INV000280,55.75,9,145194,At Risk
INV000282,53.0,2,10998,At Risk
INV000283,68.0,6,24362,At Risk
INV000284,58.0,4,76466,At Risk
INV000285,140.0,2,2722,At Risk
INV000286,115.0,5,20755,At Risk
INV000287,69.83,7,64351,At Risk
INV000288,114.25,5,111133,At Risk
INV000289,62.71,8,81640,At Risk
INV000291,89.0,6,76178,At Risk
INV000292,46.0,7,123656,At Risk
INV000293,47.0,7,70574,At Risk
INV000294,54.5,5,42127,At Risk
INV000295,8.0,2,9626,Regular
INV000296,158.0,2,75242,At Risk
INV000297,90.6,6,22338,At Risk
INV000298,92.5,5,13776,At Risk
INV000299,85.2,6,45557,At Risk
INV000300,76.5,3,14575,At Risk
INV000301,68.5,5,79466,At Risk
INV000303,209.0,3,14993,At Risk
INV000304,70.0,7,79554,At Risk
INV000305,55.0,4,115136,At Risk
INV000306,76.0,3,11664,At Risk
INV000307,162.0,2,12867,At Risk
INV000308,117.0,5,20116,At Risk
